,0,1,2,3,4,5,6,7,Target,Position_right,Position_top
Cheez-150_814-right-8,-14.8475,6.1175,-16.7775,10.5525,-16.6825,5.65,1.1675,0.7275,Cheez,1,0
Cheez-150_814-right-9,-15.0425,6.97,-16.085,8.97,-16.84,6.1125,1.11,0.7425,Cheez,1,0
Cheez-150_814-top-0,-17.2725,7.09,-17.515,8.1425,-17.3825,11.115,1.19,0.1,Cheez,0,1
Cheez-150_814-top-1,-17.66,10.95,-17.52,7.8175,-17.7275,11.32,1.01,0.0675,Cheez,0,1
Cheez-150_814-top-2,-17.6075,10.8975,-17.465,8.66,-17.9475,11.0675,0.9675,0.025,Cheez,0,1
Cheez-150_814-top-3,-17.64,9.97,-17.7975,12.255,-18.0125,10.2225,1.045,0.0375,Cheez,0,1
Cheez-150_814-top-4,-17.31,6.6575,-17.2925,6.78,-17.35,11.1825,1.04,0.055,Cheez,0,1
Cheez-150_814-top-5,-17.63,9.855,-17.51,11.4825,-17.8775,10.92,1.0325,0.035,Cheez,0,1
Cheez-150_814-top-6,-17.575,11.15,-17.34,11.375,-17.955,10.35,0.9725,0.035,Cheez,0,1
Cheez-150_814-top-7,-17.52,10.7975,-17.4025,11.615,-17.9125,11.3575,0.955,0.0375,Cheez,0,1
Cheez-150_814-top-8,-17.665,10.3975,-17.4575,10.66,-17.8075,10.56,0.9575,0.0575,Cheez,0,1
Cheez-150_814-top-9,-17.5025,10.895,-17.3475,12.3125,-17.825,11.3925,0.9825,0.04,Cheez,0,1
Cheez-50_432-right-0,-14.67,4.045,-14.555,4.145,-15.4775,7.1825,1.03,0.055,Cheez,1,0
Cheez-50_432-right-1,-16.9975,2.5125,-17.82,2.51,-17.645,6.52,1.01,0.035,Cheez,1,0
Cheez-50_432-right-2,-14.605,2.6775,-14.205,1.74,-15.5075,7.8925,0.9925,0.0175,Cheez,1,0
Cheez-50_432-right-3,-17.0825,2.2575,-17.5425,2.7175,-17.3975,7.0425,0.9475,0.035,Cheez,1,0
Cheez-50_432-right-4,-14.6075,2.2025,-14.495,2.58,-15.395,6.8825,1.0175,0.035,Cheez,1,0
Cheez-50_432-right-5,-17.0425,2.385,-17.53,2.3025,-17.935,6.0,1.0125,0.04,Cheez,1,0
Cheez-50_432-right-6,-14.5525,2.7,-14.2425,2.7025,-15.3025,6.0825,0.99,0.0175,Cheez,1,0
Cheez-50_432-right-7,-14.25,2.12,-14.4125,2.6675,-15.2425,5.4625,1.0225,0.01,Cheez,1,0
Cheez-50_432-right-8,-14.025,1.5025,-14.385,1.81,-14.7375,5.2925,1.045,0.025,Cheez,1,0
Cheez-50_432-right-9,-14.01,2.1575,-14.3625,2.7375,-14.89,6.08,1.0075,0.07,Cheez,1,0
Cheez-50_432-top-0,-16.8075,0.94,-16.9775,0.7825,-16.9675,7.21,1.035,0.0775,Cheez,0,1
Cheez-50_432-top-1,-14.66,1.0875,-14.3525,0.395,-14.9975,8.2575,1.045,0.11,Cheez,0,1
Cheez-50_432-top-2,-17.07,1.2175,-17.02,1.1125,-17.2925,7.9625,0.9875,0.11,Cheez,0,1
Cheez-50_432-top-3,-17.4625,1.395,-17.3175,0.475,-17.5775,7.975,1.0125,0.0675,Cheez,0,1
Cheez-50_432-top-4,-14.6,0.7175,-14.6375,1.2875,-15.0425,8.0825,0.935,0.0575,Cheez,0,1
Cheez-50_432-top-5,-16.9575,1.68,-16.965,1.085,-17.2225,8.9875,1.015,0.085,Cheez,0,1
Cheez-50_432-top-6,-17.495,1.12,-17.3225,0.93,-17.7325,6.0475,0.955,0.0825,Cheez,0,1
Cheez-50_432-top-7,-17.4125,2.3475,-17.3225,1.4625,-17.5025,9.45,0.985,0.04,Cheez,0,1
Cheez-50_432-top-8,-17.2475,2.3425,-17.29,1.405,-17.49,10.535,0.955,0.105,Cheez,0,1
Cheez-50_432-top-9,-17.2525,2.0425,-17.3,1.3675,-17.33,9.725,0.975,0.0675,Cheez,0,1
Cheez-50_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-right-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-50_50-top-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_50-top-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-50_814-right-0,-17.0475,0.97,-16.8075,2.4425,-17.24,8.225,1.7925,0.0975,Cheez,1,0
Cheez-50_814-right-1,-17.1825,1.795,-17.295,3.53,-17.9525,9.95,1.6975,0.055,Cheez,1,0
Cheez-50_814-right-2,-17.3475,2.39,-17.1125,3.5725,-17.8175,9.745,1.655,0.18,Cheez,1,0
Cheez-50_814-right-3,-17.64,2.5175,-17.1475,3.015,-17.915,10.045,1.68,0.05,Cheez,1,0
Cheez-50_814-right-4,-17.5825,2.4075,-17.1425,3.375,-17.675,9.16,1.645,0.13,Cheez,1,0
Cheez-50_814-right-5,-17.8,2.4075,-17.09,3.095,-17.925,8.4675,1.7025,0.055,Cheez,1,0
Cheez-50_814-right-6,-17.66,2.0025,-17.1325,3.8375,-17.995,8.8175,1.7575,0.0725,Cheez,1,0
Cheez-50_814-right-7,-17.6925,1.71,-17.205,3.4475,-17.645,9.7325,1.71,0.0375,Cheez,1,0
Cheez-50_814-right-8,-17.3625,2.0425,-17.2,4.095,-17.6975,8.86,1.6825,0.0575,Cheez,1,0
Cheez-50_814-right-9,-17.2525,2.3825,-17.1275,3.5875,-17.835,9.0175,1.7225,0.0975,Cheez,1,0
Cheez-50_814-top-0,-17.2675,3.45,-17.475,4.5625,-17.4325,9.75,1.1175,0.7275,Cheez,0,1
Cheez-50_814-top-1,-17.1675,2.1525,-17.3625,3.62,-17.4025,9.3925,1.06,0.7625,Cheez,0,1
Cheez-50_814-top-2,-17.145,1.71,-17.4675,2.83,-17.3775,10.55,1.125,0.765,Cheez,0,1
Cheez-50_814-top-3,-17.2125,2.4225,-17.4525,2.495,-17.4375,10.7325,1.135,0.7975,Cheez,0,1
Cheez-50_814-top-4,-17.2425,1.915,-17.435,2.3675,-17.48,9.8275,1.12,0.745,Cheez,0,1
Cheez-50_814-top-5,-17.1875,1.7525,-17.5975,2.505,-17.3725,9.6175,1.09,0.6825,Cheez,0,1
Cheez-50_814-top-6,-17.225,1.5175,-17.4825,2.3875,-17.4575,10.595,1.075,0.785,Cheez,0,1
Cheez-50_814-top-7,-17.2325,2.345,-17.25,2.365,-17.265,9.6875,1.1675,0.7875,Cheez,0,1
Cheez-50_814-top-8,-17.1825,1.4425,-17.11,1.2875,-17.385,10.69,1.17,0.7175,Cheez,0,1
Cheez-50_814-top-9,-17.2575,1.6875,-17.435,1.78,-17.47,10.435,1.23,0.76,Cheez,0,1
Coffeecup-100_470-back-0,-20.61,22.1525,-20.6575,24.05,-20.7375,21.9575,0.11,0.0325,Coffeecup,0,0
Coffeecup-100_470-back-1,-20.9525,24.2525,-20.3475,24.2975,-20.8425,20.7325,0.0975,0.1275,Coffeecup,0,0
Coffeecup-100_470-back-2,-20.845,24.3575,-20.4775,24.67,-20.9,21.0775,0.1225,0.1475,Coffeecup,0,0
Coffeecup-100_470-back-3,-20.3875,23.0375,-20.7325,24.2025,-20.79,20.9275,0.1175,0.1525,Coffeecup,0,0
Coffeecup-100_470-back-4,-21.1525,17.8275,-20.835,19.7075,-20.955,19.815,0.1825,0.13,Coffeecup,0,0
Coffeecup-100_470-back-5,-20.6575,22.3925,-20.4275,23.4925,-20.8425,19.9175,0.1525,0.0825,Coffeecup,0,0
Coffeecup-100_470-back-6,-20.615,23.75,-20.125,24.11,-20.89,21.735,0.0925,0.0875,Coffeecup,0,0
Coffeecup-100_470-back-7,-20.3925,23.3375,-20.185,24.035,-20.92,21.1975,0.1025,0.1575,Coffeecup,0,0
Coffeecup-100_470-back-8,-20.475,23.5575,-20.095,24.5575,-20.8125,21.4025,0.0625,0.1425,Coffeecup,0,0
Coffeecup-100_470-back-9,-20.305,23.16,-20.175,23.7425,-20.79,21.335,0.0625,0.145,Coffeecup,0,0
Coffeecup-100_470-right-0,-22.605,7.945,-21.795,8.55,-22.4575,11.6275,0.55,0.07,Coffeecup,1,0
Coffeecup-100_470-right-1,-21.695,9.9425,-22.0625,10.74,-21.5525,7.305,0.275,0.05,Coffeecup,1,0
Coffeecup-100_470-right-2,-22.9375,9.5125,-22.0775,9.53,-22.405,12.1675,0.545,0.175,Coffeecup,1,0
Coffeecup-100_470-right-3,-21.93,17.6375,-20.64,16.715,-21.0325,19.62,0.645,0.0775,Coffeecup,1,0
Coffeecup-100_470-right-4,-23.7575,8.4325,-22.575,7.1775,-22.465,10.1625,0.6275,0.12,Coffeecup,1,0
Coffeecup-100_470-right-5,-22.5675,8.715,-21.9325,8.5675,-22.6,8.34,0.625,0.0675,Coffeecup,1,0
Coffeecup-100_470-right-6,-22.965,10.2675,-21.9725,9.4975,-22.3175,12.925,0.5825,0.065,Coffeecup,1,0
Coffeecup-100_470-right-7,-23.2,10.5625,-22.0425,10.7125,-22.3325,13.115,0.545,0.07,Coffeecup,1,0
Coffeecup-100_470-right-8,-23.03,13.7175,-21.43,10.95,-22.9225,12.98,0.75,0.13,Coffeecup,1,0
Coffeecup-100_470-right-9,-22.375,11.435,-21.355,10.1525,-22.1625,12.5275,0.61,0.11,Coffeecup,1,0
Coffeecup-100_470-top-0,-21.3375,13.7075,-21.68,9.71,-22.34,13.75,2.7925,0.0175,Coffeecup,0,1
Coffeecup-100_470-top-1,-21.8275,13.255,-21.695,14.4025,-21.6125,7.655,2.8225,0.0475,Coffeecup,0,1
Coffeecup-100_470-top-2,-21.04,14.3525,-21.5525,9.835,-21.7225,12.265,2.8225,0.1375,Coffeecup,0,1
Coffeecup-100_470-top-3,-21.565,10.8025,-21.3525,10.6975,-21.845,11.5575,2.8275,0.01,Coffeecup,0,1
Coffeecup-100_470-top-4,-21.575,13.4125,-21.7625,10.07,-21.9025,12.5825,2.775,0.1175,Coffeecup,0,1
Coffeecup-100_470-top-5,-20.0325,16.5875,-21.6175,9.6725,-22.0075,13.68,2.865,0.08,Coffeecup,0,1
