,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,Target
Cheez-100_50-top-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-top-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-top-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_50-top-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-100_814-right-0,-25.0,0.0,-21.0,0.0,-24.0,0.0,0.0,0.0,-2.0,16.0,0.0,19.0,-2.0,15.0,1.0,1.0,0.0,18.0,0.0,20.0,-4.0,15.0,1.0,0.0,Cheez
Cheez-100_814-right-1,-24.0,0.0,-25.0,0.0,-24.0,0.0,1.0,1.0,0.0,7.0,0.0,15.0,-3.0,17.0,1.0,1.0,5.0,31.0,3.0,33.0,4.0,49.0,1.0,0.0,Cheez
Cheez-100_814-right-2,-24.0,0.0,-22.0,0.0,-25.0,0.0,0.0,0.0,-1.0,11.0,-3.0,20.0,-1.0,18.0,1.0,1.0,5.0,25.0,3.0,32.0,4.0,39.0,1.0,1.0,Cheez
Cheez-100_814-right-3,-23.0,0.0,-18.0,0.0,-24.0,0.0,0.0,0.0,0.0,12.0,0.0,17.0,-3.0,17.0,1.0,1.0,6.0,35.0,3.0,31.0,4.0,47.0,1.0,1.0,Cheez
Cheez-100_814-right-4,-24.0,0.0,-21.0,0.0,-24.0,0.0,1.0,0.0,0.0,14.0,0.0,19.0,-3.0,16.0,1.0,1.0,5.0,45.0,3.0,36.0,4.0,57.0,1.0,1.0,Cheez
Cheez-100_814-right-5,-24.0,0.0,-19.0,0.0,-24.0,0.0,1.0,0.0,-1.0,17.0,-1.0,21.0,-2.0,15.0,0.0,1.0,6.0,26.0,3.0,30.0,3.0,38.0,1.0,1.0,Cheez
Cheez-100_814-right-6,-25.0,0.0,-25.0,0.0,-24.0,0.0,1.0,0.0,0.0,14.0,0.0,18.0,-3.0,16.0,1.0,1.0,5.0,37.0,4.0,38.0,4.0,60.0,1.0,0.0,Cheez
Cheez-100_814-right-7,-24.0,0.0,-23.0,0.0,-24.0,0.0,1.0,1.0,0.0,14.0,-3.0,23.0,-3.0,15.0,1.0,0.0,5.0,36.0,4.0,42.0,3.0,48.0,0.0,0.0,Cheez
Cheez-100_814-right-8,-25.0,0.0,-24.0,0.0,-25.0,0.0,1.0,0.0,0.0,15.0,-1.0,22.0,-3.0,16.0,5.0,0.0,5.0,35.0,3.0,34.0,3.0,49.0,1.0,1.0,Cheez
Cheez-100_814-right-9,-25.0,0.0,-24.0,0.0,-24.0,0.0,1.0,1.0,0.0,15.0,0.0,20.0,-3.0,15.0,1.0,0.0,5.0,39.0,3.0,33.0,4.0,45.0,1.0,0.0,Cheez
Cheez-100_814-top-0,-16.0,0.0,-18.0,0.0,-23.0,0.0,1.0,1.0,0.0,4.0,-1.0,10.0,-1.0,21.0,1.0,1.0,3.0,32.0,3.0,27.0,3.0,74.0,1.0,1.0,Cheez
Cheez-100_814-top-1,-20.0,0.0,-21.0,0.0,-24.0,0.0,1.0,1.0,-2.0,14.0,-5.0,21.0,-2.0,16.0,1.0,1.0,3.0,38.0,3.0,39.0,3.0,63.0,1.0,1.0,Cheez
Cheez-100_814-top-2,-18.0,0.0,-20.0,0.0,-24.0,0.0,1.0,1.0,-2.0,16.0,-3.0,20.0,-2.0,16.0,1.0,1.0,4.0,38.0,3.0,38.0,3.0,71.0,1.0,1.0,Cheez
Cheez-100_814-top-3,-22.0,0.0,-23.0,0.0,-24.0,0.0,1.0,1.0,-1.0,15.0,-1.0,17.0,-2.0,17.0,1.0,1.0,3.0,41.0,3.0,39.0,4.0,64.0,1.0,0.0,Cheez
Cheez-100_814-top-4,-20.0,0.0,-21.0,0.0,-24.0,0.0,1.0,1.0,-1.0,12.0,-4.0,22.0,-2.0,18.0,1.0,1.0,3.0,41.0,3.0,52.0,3.0,75.0,1.0,0.0,Cheez
Cheez-100_814-top-5,-17.0,0.0,-18.0,0.0,-23.0,0.0,1.0,1.0,-1.0,14.0,-2.0,21.0,-2.0,17.0,1.0,1.0,4.0,41.0,3.0,47.0,3.0,79.0,1.0,1.0,Cheez
Cheez-100_814-top-6,-22.0,0.0,-24.0,0.0,-25.0,0.0,1.0,1.0,-1.0,11.0,-2.0,19.0,-2.0,19.0,1.0,1.0,4.0,35.0,3.0,56.0,3.0,84.0,1.0,0.0,Cheez
Cheez-100_814-top-7,-19.0,0.0,-21.0,0.0,-24.0,0.0,1.0,1.0,-1.0,10.0,-2.0,18.0,-2.0,17.0,1.0,1.0,4.0,34.0,3.0,33.0,3.0,71.0,1.0,0.0,Cheez
Cheez-100_814-top-8,-20.0,0.0,-22.0,0.0,-24.0,0.0,1.0,0.0,0.0,14.0,0.0,17.0,-2.0,16.0,1.0,1.0,4.0,43.0,3.0,38.0,3.0,67.0,1.0,1.0,Cheez
Cheez-100_814-top-9,-17.0,0.0,-19.0,0.0,-23.0,0.0,5.0,0.0,-1.0,13.0,-1.0,17.0,-1.0,18.0,1.0,0.0,4.0,37.0,3.0,45.0,3.0,78.0,1.0,0.0,Cheez
Cheez-150_432-right-0,-24.0,0.0,-19.0,0.0,-25.0,0.0,1.0,0.0,-1.0,10.0,0.0,15.0,-3.0,21.0,1.0,0.0,-1.0,9.0,0.0,18.0,-3.0,22.0,1.0,0.0,Cheez
Cheez-150_432-right-1,-25.0,0.0,-26.0,-2.0,-24.0,0.0,1.0,0.0,0.0,17.0,0.0,22.0,-2.0,16.0,1.0,0.0,-2.0,19.0,0.0,24.0,-4.0,17.0,1.0,0.0,Cheez
