,0-media,0-std,0-75,0-max,1-media,1-std,1-75,1-max,2-media,2-std,2-75,2-max,3-media,3-std,3-75,3-max,4-media,4-std,4-75,4-max,5-media,5-std,5-75,5-max,6-media,6-std,6-75,6-max,7-media,7-std,7-75,7-max,8-media,8-std,8-75,8-max,9-media,9-std,9-75,9-max,10-media,10-std,10-75,10-max,11-media,11-std,11-75,11-max,12-media,12-std,12-75,12-max,13-media,13-std,13-75,13-max,14-media,14-std,14-75,14-max,15-media,15-std,15-75,15-max,Target,Position_right,Position_top
1485,435.1375,861.4494247326263,195.25,2930.0,1.6625,12.348879739760564,0.0,123.0,2.4475,22.2043876480992,0.0,366.0,2.135,13.993259207852399,0.0,154.0,131.315,192.8545383375612,313.0,609.0,4.945,32.639321197300475,0.0,294.0,5.4575,56.481666409118226,0.0,914.0,7.595,62.143547744845115,0.0,795.0,29.085,44.05752419957905,62.0,200.0,1.48,10.189660098959656,0.0,94.0,1.9375,11.467010271269645,0.0,94.0,2.28,13.596829941613288,0.0,115.0,4.365,23.201563662628022,0.0,137.0,3.93,17.152276860631655,0.0,105.0,11.4825,50.2392740332547,0.0,320.0,2.265,13.643501670927892,0.0,105.0,Scrub,1,0
1486,665.6325,1137.5006513286887,730.25,3382.0,0.7425,7.526807146096934,0.0,96.0,4.845,29.11572235443513,0.0,218.0,2.1375,15.125327519807813,0.0,154.0,56.3825,96.04445604819692,110.0,670.0,1.515,13.211970534842054,0.0,226.0,7.025,47.96651270263568,0.0,567.0,4.8375,53.35858826002365,0.0,795.0,28.1625,68.73720318360203,41.0,521.0,1.0575,7.976104271407842,0.0,83.0,1.92,11.598703583247099,0.0,94.0,0.9325,8.474815632212882,0.0,94.0,1.7,13.547465983956773,0.0,137.0,2.8,15.17549799342242,0.0,111.0,7.735,42.934230461991746,0.0,306.0,1.65,12.347211591497667,0.0,111.0,Scrub,1,0
1487,610.08,1066.482990263469,610.25,3359.0,2.5725,17.52090748928595,0.0,223.0,3.1575,19.60122991767905,0.0,199.0,4.8375,25.974656893823994,0.0,185.0,41.0775,69.4208515528711,76.0,525.0,2.62,24.366676780869238,0.0,325.0,7.4425,54.266784532610686,0.0,626.0,7.6075,57.76356999698888,0.0,630.0,22.555,34.34780056290041,41.0,157.0,1.425,10.497851552486576,0.0,94.0,0.8275,7.10696955746451,0.0,94.0,1.9725,11.915817660837105,0.0,94.0,2.9225,18.16359778406117,0.0,137.0,2.8725,15.548492944079154,0.0,111.0,8.2725,43.148496214397966,0.0,292.0,1.9725,12.749828983078375,0.0,105.0,Scrub,1,0
1488,294.485,593.2196969057856,79.0,2332.0,1.495,9.708016737337864,0.0,96.0,3.785,20.9098500610103,0.0,181.0,2.6575,23.945954053636154,0.0,375.0,190.9075,268.09555574697237,492.0,1049.0,4.3775,30.14883703705218,0.0,310.0,3.415,36.28704519691279,0.0,596.0,10.25,73.27445232417996,0.0,832.0,17.425,28.5146820555977,33.5,168.0,2.905,13.9921558762459,0.0,94.0,1.89,11.588729292573055,0.0,115.0,1.68,10.912392072862787,0.0,94.0,3.5275,18.057114726073397,0.0,137.0,2.1675,12.950627035070662,0.0,111.0,8.69,43.08607576482262,0.0,306.0,2.995,16.106474515028413,0.0,111.0,Scrub,1,0
1489,540.2025,1038.6676647456698,383.5,3639.0,2.3125,13.83703373220813,0.0,105.0,2.4925,22.13096003861033,0.0,273.0,3.0675,20.249519781428067,0.0,185.0,92.7075,162.16199686368398,78.75,731.0,1.635,15.285807626258118,0.0,226.0,4.1425,53.494919944792244,0.0,914.0,6.7925,50.43474598683853,0.0,721.0,69.0475,202.0035614558614,41.0,1096.0,1.2975,10.030729414227784,0.0,94.0,2.025,12.678771751744385,0.0,94.0,2.125,12.748556358390452,0.0,94.0,2.44,17.1210169983456,0.0,137.0,2.3175,13.723612410512947,0.0,105.0,5.21,35.82141586518404,0.0,306.0,2.545,15.489926389394894,0.0,111.0,Scrub,1,0
1490,504.0875,843.9538970195543,1065.5,3336.0,1.42,10.781660842667801,0.0,105.0,5.16,29.84864744650868,0.0,218.0,3.225,21.48845642196061,0.0,185.0,113.9875,133.71998702915639,177.0,744.0,65.7925,82.72256039767417,107.0,483.0,112.99,139.8281254313815,207.0,716.0,136.2375,176.22728572595042,239.0,813.0,1195.89,1822.8677200257348,2485.25,5548.0,1.73,13.01636140249644,0.0,118.0,0.305,5.316261052558219,0.0,105.0,2.465,15.603764567298407,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scrub,0,1
1491,519.0875,832.5088511914072,900.75,2520.0,1.125,12.123813018405686,0.0,205.0,3.6325,28.668574461492753,0.0,442.0,2.985,19.767946384504672,0.0,185.0,168.645,190.83722406864345,270.0,933.0,55.51,74.63461471921529,86.0,483.0,116.6,147.77660441365558,182.5,837.0,142.775,188.24068573082454,257.0,1250.0,859.8175,1288.5544500021365,2194.0,3701.0,2.1325,14.891586285727474,0.0,118.0,3.4525,20.57415815311212,0.0,158.0,0.54,5.736782782337991,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scrub,0,1
1492,187.185,367.2098220479963,111.0,1540.0,3.19,20.084380893862022,0.0,232.0,1.9925,18.20483407530178,0.0,273.0,3.5975,29.20810293295972,0.0,391.0,166.4175,211.0624708712465,247.75,1329.0,60.695,77.90915585742174,93.0,396.0,108.5275,147.06316050150602,165.0,731.0,117.67,160.053926062813,153.0,869.0,963.865,1464.0429334731355,2079.0,4242.0,3.2775,17.754959595154407,0.0,118.0,2.8425,19.498028786685435,0.0,176.0,2.1425,17.012223049405,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scrub,0,1
1493,314.445,608.3619215104262,95.0,1829.0,1.4975,10.424811051700567,0.0,105.0,4.075,26.426127706569627,0.0,236.0,2.7575,20.12501513877295,0.0,185.0,156.8775,212.5613872558476,211.0,958.0,56.16,72.09155554537837,86.0,364.0,110.67,147.70800668242467,168.5,914.0,129.6575,178.20553646510845,170.0,850.0,1129.105,1575.3581902360659,2388.0,4690.0,1.695,13.341738265678586,0.0,133.0,2.4,16.767165670187847,0.0,158.0,3.575,18.430234911613216,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scrub,0,1
1494,406.18,846.3939238237183,232.0,3221.0,1.285,9.19048080044561,0.0,88.0,4.655,26.14401938060484,0.0,218.0,3.7575,23.94466665885118,0.0,200.0,192.405,243.25499678042897,279.0,1208.0,62.0425,72.2097036207218,107.0,325.0,120.6525,138.40091682570426,207.0,686.0,85.1975,149.56246461195414,136.0,888.0,659.655,1067.1111030443872,929.5,3125.0,1.5075,12.354210214540686,0.0,118.0,3.1225,27.443311244822397,0.0,465.0,1.08,9.43696140722768,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scrub,0,1
